"id","firstName","middleName","lastName","dob","nationality","gender","stance","hometown","yearStatus","yearPoints","yearRank","playerStatus","isActive","isArchived","createdAt","updatedAt","providerEntryId","startNumber"
c98215ca-b233-49f6-a9f3-3dd0e34c1011,Scott,"",Speed,,USA,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
"95d3b712-09f7-4750-88ae-376680c67a8a",Timmy,"",Hansen,,SE,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
"93ca2b38-7487-4e9a-b57a-98cf962050b9",Kevin,"",Hansen,,SE,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
aa538b11-123d-4ce6-a85f-1954d88dca71,Steve,"",Arpin,,CA,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
"34154703-e8e1-4857-b50c-5ca928631056",Tanner,"",Foust,,USA,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
"7c1753ff-f867-44df-8052-6e634163a215",Fraser,"",McConnell,,JM,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
a72fd561-0a12-47ba-8d4b-35bfade8497c,Kevin,"",Eriksson,,SE,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
b6288334-84e9-4346-9540-9db9d25ebf18,Cabot,"",Bigham,,USA,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
"3555ad6e-4378-4820-b377-30e28434a65f",Ronalds,"",Baldins,,USA,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
"4db9c2e5-9eda-40b7-8250-71ecfa73b13a",Chase,"",Elliott,,USA,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
b9e90030-eec1-4140-b55d-cb558b60ca6c,Liam,"",Doran,,UK,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
c7daa7dd-c0cc-41bf-9e64-7a4ba2189122,Andrew,"",Carlson,,USA,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
"50c728b4-196e-4a63-8406-6031609368ed",Andreas,"",Bakkerud,,NOR,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,"1013","13"
c4c4a20b-dc70-4806-99e2-b280f36fb4eb,Oliver,"",Eriksson,,SWE,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,"1016","16"
"7d302c30-4506-41a2-9eca-43e47ce03631",Travis,"",Pastrana,,USA,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,"1199","199"
a4452a78-f47d-4ddd-bc45-e59b916afdf8,Conner,"",Martell,,USA,,,,1,0,0,1,true,false,2022-09-08 15:19:38.620 +0530,2022-09-08 15:19:38.620 +0530,"1021","21"
"8bd83a59-ffa6-4a99-9d9c-d258abe64802",Johan,"",Kristoffersson,,SWE,,,,1,0,0,1,true,false,2022-09-08 15:19:38.620 +0530,2022-09-08 15:19:38.620 +0530,"1003","3"
"7c7385f1-259e-4e9b-bed3-031a2ed5041c",Fraser,"",Mcconnell,,JAM,,,,1,0,0,1,true,false,2022-09-08 15:19:38.620 +0530,2022-09-08 15:19:38.620 +0530,"1035","35"
"368ba3e3-7b6d-4a4d-95ab-af081466c45a",Robin,"",Larsson,,SWE,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,"1004","4"
f9de87a9-ae4d-46be-9de6-32e59fd48cb9,Oliver,"",Bennett,,GBR,men,Regular,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,"1042","42"
"394e070d-2570-48e2-90ba-a2622a8b4925",Ole,Christian,Veiby,,NOR,,,,1,0,0,1,true,false,2022-09-08 15:19:38.620 +0530,2022-09-08 15:19:38.620 +0530,"1052","52"
"42dd513a-7a48-4389-a17d-d78aadce80c3",Kris,"",Meeke,,GBR,,,,1,0,0,1,true,false,2022-09-08 15:19:38.620 +0530,2022-09-08 15:19:38.620 +0530,"1062","62"
e4b40121-bc71-4cb3-91ee-f27bd10af9ce,Niclas,"",Grönholm,,FIN,,,,1,0,0,1,true,false,2022-09-08 15:19:38.620 +0530,2022-09-08 15:19:38.620 +0530,"1068","68"
ba60e260-fcf8-465d-9b89-42263911ba92,Kyle,"",Busch,,,men,,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
a9121752-8d18-4ec5-8ea0-ca6e1cc6e17c,Yury,"",Belevskiy,,,men,,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
"93b77fe3-4e5c-4470-a9f7-f3451fc25ece",Tristan,"",Ovenden,,,men,,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
d8737390-58e5-4dd3-9e6e-b460583c7e48,Patrick,"",O'Donovan,,,men,,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
a9f027ae-20cb-448e-a7b8-ceda34386e49,Dom,"",Flitney,,,men,,,1,0,0,1,true,false,2022-08-02 15:13:00.878 +0530,2022-08-02 15:13:00.878 +0530,,
